"id","sub_category_name","primary_category_id"
20780,"Herb, Spice & Seasoning Gifts",19944
20781,"Food Assortments & Variety Gifts",19944
20782,"Fruit & Nut Gifts",19944
20783,"Bakery & Dessert Gifts",19944
20784,"Cheese & Charcuterie Gifts",19944
20785,"Meat & Seafood Gifts",19944
20786,"Sauce, Gravy & Marinade Gifts",19944
20787,"Coffee Gifts",19944
20788,"Gourmet Tea Gifts",19944
20789,"Jam, Jelly & Sweet Spread Gifts",19944
20790,"Coffee & Tea Gifts",19944
20791,"Food & Drink Advent Calendars",19944
20793,"Chocolate",19944
20801,"Sweets, Chocolate & Gum",19944
20807,"Dried Fruits & Vegetables",19944
20840,"Fresh Vegetables",19944
20886,"Fresh Fruits",19944
20917,"Fresh Packaged Produce",19944
20923,"Fresh Vegetarian Proteins",19944
20927,"Fresh Herbs",19944
20940,"Non-Dairy Milks",19944
20950,"Milks & Creams",19944
20960,"Cheeses",19944
20993,"Yogurt",19944
21004,"Eggs & Egg Substitutes",19944
21008,"Butter & Margarine",19944
21011,"Cream Cheeses",19944
21012,"Cheese Assortments & Samplers",19944
21013,"Refrigerated Snack Packs & Lunches",19944
21014,"Dairy-Free Cheese Substitutes",19944
21015,"Whipped Toppings",19944
21016,"Sour Creams",19944
21017,"Cottage Cheeses",19944
21019,"Seafood",19944
21053,"Sausages",19944
21060,"Beef",19944
21077,"Packaged & Sliced Deli Meats",19944
21095,"Hot Dogs & Franks",19944
21096,"Pork Meat",19944
21101,"Bacon",19944
21102,"Chicken",19944
21106,"Foie Gras & Pâtés",19944
21107,"Wild Game & Fowl Meat",19944
21108,"Turkey",19944
21109,"Lamb Meat",19944
21110,"Turducken",19944
21111,"Veal Meats",19944
21113,"Ice Creams & Frozen Novelties",19944
21120,"Frozen Meat",19944
21131,"Frozen Meals & Entrees",19944
21139,"Frozen Seafood",19944
21143,"Frozen Bread & Dough",19944
21144,"Frozen Breakfast Foods",19944
21154,"Frozen Desserts & Toppings",19944
21155,"Frozen Fruits",19944
21160,"Frozen Pizzas",19944
21164,"Frozen Vegetables",19944
21169,"Frozen Appetizers & Snacks",19944
21171,"Frozen Pasta & Sauces",19944
21172,"Frozen Juices",19944
21173,"Frozen Potatoes & Onion Rings",19944
21175,"Fresh Cut Flowers",19944
21187,"Live Indoor House Plants",19944
21191,"Fresh Flower & Plant Centerpieces",19944
21193,"Dried Beans",19944
21200,"Dried Lentils",19944
21201,"Dried Peas",19944
21206,"Winemaking Ingredients",19944
21211,"Beer Brewing Ingredients",19944
21212,"Beer Brewing Recipe Kits",19944
21216,"Fresh Prepared Dips, Salsas & Spreads",19944
21224,"Fresh Prepared Sandwiches & Wraps",19944
21225,"Fresh Prepared Breakfast Foods",19944
21226,"Fresh Prepared Entrees",19944
21227,"Deli Meats & Cheeses",19944
21228,"Fresh Prepared Soups, Stews & Chili",19944
21229,"Fresh Prepared Pasta & Sauces",19944
21232,"Fresh Prepared Side Dishes",19944
21234,"Meatless Meatballs, Chunks & Crumbles",19944
21235,"Meatless Jerky",19944
21236,"Meatless Burgers & Patties",19944
21237,"Meatless Hot Dogs, Links & Sausages",19944
21238,"Meatless Bacon",19944
21239,"Meatless Loaves & Roasts",19944
21240,"Meatless Strips & Cutlets",19944
21241,"Meatless Nuggets & Wings",19944
21242,"Meatless Pulled & Flaked Meats",19944
21243,"Meatless Deli Slices",19944
21245,"Wine",19944
21253,"Liquor & Spirits",19944
21261,"Beer",19944
21269,"Deli Sliced Cheeses",19944
19947,"Cooking & Baking Nuts & Seeds",19944
19965,"Frosting, Icing & Decorations",19944
19975,"Cooking Oils, Vinegars & Sprays",19944
20004,"Syrups, Sugars & Sweeteners",19944
20026,"Baking Flours & Meals",19944
20038,"Sugar Substitutes",19944
20043,"Baking Mixes",19944
20059,"Baking Chocolates, Carobs & Cocoas",19944
20064,"Extracts",19944
20067,"Baking Leaveners & Yeasts",19944
20075,"Dessert Syrups & Sauces",19944
20081,"Pudding & Gelatin",19944
20085,"Cooking & Baking Thickeners",19944
20093,"Food Coloring",19944
20094,"Dried Seaweed & Nori",19944
20095,"Condensed & Powdered Milks",19944
20098,"Lards & Shortenings",19944
20102,"Breadcrumbs & Seasoned Coatings",19944
20107,"Marshmallows",19944
20108,"Flavoring Powders",19944
20109,"Coconut Milk & Cream",19944
20110,"Nutritional Yeast",19944
20111,"Pie & Pastry Fillings",19944
20112,"Coconut Flakes",19944
20113,"Cooking Wines",19944
20119,"Powdered Cheese",19944
20120,"Marzipan & Almond Paste",19944
20121,"Prepared Baking Doughs, Shells & Crusts",19944
20124,"Powdered Eggs",19944
20125,"Baking Chips",19944
20131,"Single Herbs & Spices",19944
20179,"Mixed Spices & Seasonings",19944
20198,"Salt & Salt Substitutes",19944
20209,"Pepper & Peppercorns",19944
20213,"Packaged Meals & Side Dishes",19944
20231,"Packaged Meat, Poultry & Seafood",19944
20250,"Canned & Jarred Vegetables",19944
20279,"Canned & Jarred Fruits",19944
20303,"Canned Beans",19944
20313,"Antipasto",19944
20316,"Packaged Sloppy Joe Mixes",19944
20317,"Mochi",19944
20319,"Sauces",19944
20347,"Hot Sauce",19944
20348,"Seasoning Mixes",19944
20349,"Gravies",19944
20357,"Glazes & Demi-Glaces",19944
20359,"Packaged Broths",19944
20364,"Packaged Noodle Soups",19944
20365,"Packaged Vegetable Soups",19944
20366,"Packaged Bouillon",19944
20370,"Packaged Chicken Soups",19944
20371,"Packaged Chilis",19944
20372,"Packaged Miso Soups",19944
20373,"Packaged Beef Soups",19944
20374,"Packaged Chowders",19944
20375,"Packaged Stews",19944
20376,"Packaged Stocks",19944
20380,"Packaged Tomato Soups",19944
20381,"Packaged Split Pea Soups",19944
20382,"Packaged Consommé Soup",19944
20383,"Packaged Bisques",19944
20385,"Salad Dressings",19944
20400,"Mayonnaise",19944
20401,"Mustard",19944
20410,"Sandwich Spreads",19944
20411,"Ketchup",19944
20412,"Salad Toppings",19944
20413,"Horseradish",19944
20414,"Tartar Sauce",19944
20415,"Steak Sauce",19944
20416,"Wasabi",19944
20417,"Cocktail Sauce",19944
20419,"Dried White Rice",19944
20420,"Dried Basmati Rice",19944
20421,"Dried Jasmine Rice",19944
20422,"Dried Brown Rice",19944
20423,"Dried Quinoa",19944
20424,"Dried Wild Rice",19944
20425,"Dried Buckwheat",19944
20426,"Dried Wheat Berries",19944
20427,"Dried Millet",19944
20428,"Dried Couscous",19944
20429,"Dried Farro",19944
20430,"Dried Arborio Rice",19944
20431,"Whole Grain Teff",19944
20433,"Italian Pasta",19944
20450,"Noodles",19944
20457,"Pickles",19944
20461,"Condiment Olives",19944
20466,"Pickled Mixed Vegetables",19944
20467,"Relishes",19944
20471,"Chutneys",19944
20472,"Capers",19944
20473,"Pickled Eggs",19944
20475,"Peanut Butter",19944
20476,"Almond Butter",19944
20477,"Cashew Butter",19944
20478,"Coconut Butter",19944
20480,"Jams, Jellies & Preserves",19944
20482,"Chocolate & Hazelnut Spreads",19944
20483,"Marmalades",19944
20484,"Fruit Butters",19944
20485,"Marshmallow Spreads",19944
20486,"Fruit Compotes",19944
20490,"Coffee Beverages",19944
20499,"Tea Beverages",19944
20517,"Non-Dairy Coffee Creamers",19944
20518,"Coffee Substitutes",19944
20519,"Hot Cocoa",19944
20520,"Bubble Tea Tapioca Pearls",19944
20521,"Bubble Tea Kits",19944
20523,"Energy Drinks",19944
20524,"Drinking Water",19944
20531,"Juices",19944
20538,"Meal Replacement & Protein Drinks",19944
20541,"Soda Soft Drinks",19944
20542,"Sports Drinks",19944
20543,"Cocktail Mixers",19944
20549,"Coconut Water",19944
20550,"Powdered Drink Mixes & Flavorings",19944
20552,"Beverage Flavor Syrups",19944
20554,"Syrups",19944
20555,"Concentrates",19944
20558,"Powdered Soft Drink Mixes",19944
20559,"Powdered Chocolate Drink Mixes",19944
20560,"Instant Breakfast Drinks",19944
20563,"Malted Drinks",19944
20566,"High Protein Bars",19944
20567,"Granola Bars",19944
20568,"Nut Bars",19944
20569,"Fruit & Nut Bars",19944
20570,"Fruit Bars",19944
20571,"Whole Grain Bars",19944
20573,"Potato Chips & Crisps",19944
20574,"Vegetable Chips & Crisps",19944
20575,"Tortilla Chips & Crisps",19944
20576,"Corn Chips & Crisps",19944
20577,"Pita Chips & Crisps",19944
20578,"Soy Chips & Crisps",19944
20580,"Jerky",19944
20581,"Sausage Snacks",19944
20582,"Pork Rinds",19944
20583,"Meat Floss",19944
20585,"Cracker Assortments",19944
20586,"Flatbread Crackers",19944
20587,"Graham Crackers",19944
20588,"Wheat Crackers",19944
20589,"Animal Crackers",19944
20590,"Sandwich Crackers",19944
20591,"Saltine Crackers",19944
20592,"Matzo Crackers",19944
20593,"Packaged Toast Crackers",19944
20594,"Bagel Chips",19944
20595,"Deli Crackers",19944
20596,"Oyster Crackers",19944
20597,"Water Crackers",19944
20599,"Unpopped Popcorn Kernels",19944
20600,"Popped Popcorn",19944
20601,"Microwave Popcorn",19944
20605,"Rice Cakes",19944
20606,"Rice Crackers",19944
20607,"Rice Chips",19944
20611,"Snack Food Salsas",19944
20612,"Snack Food Dips & Spreads",19944
20621,"Snack Cakes",19944
20622,"Snack Pies",19944
20623,"Snack Muffins",19944
20624,"Snack Donuts",19944
20625,"Snack Cupcakes",19944
20626,"Snack Danishes",19944
20627,"Snack Sweet Rolls",19944
20630,"Applesauce Snack Cups & Pouches",19944
20631,"Fruit Snack Cups & Pouches",19944
20640,"Pudding Snacks",19944
20641,"Gelatin Snacks",19944
20644,"Gummy Candies",19944
20645,"Taffy Candy",19944
20646,"Licorice Candy",19944
20647,"Jelly Beans",19944
20649,"Hard Candy",19944
20650,"Suckers & Lollipops",19944
20651,"Candy Canes",19944
20654,"Candy Bars",19944
20655,"Chocolate Blocks",19944
20656,"Cookie Candy Bars",19944
20659,"Candy & Chocolate Coated Nuts",19944
20660,"Candy & Chocolate Coated Fruits",19944
20661,"Candy & Chocolate Coated Espresso Beans",19944
20662,"Nut Cluster Candy",19944
20663,"Chocolate-coated Chips & Pretzels",19944
20664,"Candy & Chocolate Coated Bacon",19944
20667,"Candy Brittle",19944
20668,"Toffee Candy",19944
20669,"Caramel Candy",19944
20674,"Chocolate Truffles",19944
20675,"Fudge",19944
20677,"Halva Candy",19944
20678,"Wagashi",19944
20682,"Cookie Assortments",19944
20683,"Wafer Cookies",19944
20684,"Sandwich Cookies",19944
20685,"Chocolate Cookies",19944
20686,"Chocolate-Chip Cookies",19944
20687,"Shortbread Cookies",19944
20688,"Biscotti Cookies",19944
20689,"Butter Cookies",19944
20690,"Oatmeal Cookies",19944
20691,"Ginger Snaps",19944
20692,"Peanut-Butter Cookies",19944
20693,"Fruit Cookies",19944
20694,"Meringue Cookies",19944
20695,"Sugar Cookies",19944
20696,"Nut Cookies",19944
20697,"Fortune Cookies",19944
20698,"Ladyfinger Cookies",19944
20699,"Rich Tea Cookies",19944
20700,"Macaroons",19944
20701,"Snickerdoodle Cookies",19944
20702,"Pizzelle Cookies",19944
20704,"Flatbreads",19944
20709,"Sandwich Breads",19944
20719,"Pretzels",19944
20720,"Rolls & Buns",19944
20723,"Ciabatta",19944
20724,"Dinner Breads",19944
20725,"Baguette",19944
20726,"Challah",19944
20727,"Cornbread",19944
20729,"Bagels",19944
20730,"Pastries",19944
20731,"Waffles",19944
20732,"Muffins",19944
20733,"Donuts",19944
20734,"Danishes",19944
20735,"Croissants",19944
20736,"English Muffins",19944
20737,"Scones",19944
20739,"Coffeecakes",19944
20740,"Liquor Cakes",19944
20741,"Fruitcakes",19944
20742,"Cheesecakes",19944
20743,"Layer Cakes",19944
20744,"Panettones",19944
20745,"Pound Cakes",19944
20747,"Brownies",19944
20748,"Baklava",19944
20749,"Dessert Pies",19944
20750,"Cupcakes",19944
20751,"Fresh Fudge",19944
20752,"Dessert Tarts",19944
20753,"Sponge Puddings",19944
20757,"Refrigerated Cookie Dough",19944
20758,"Refrigerated Cinnamon Rolls",19944
20763,"Oatmeal",19944
20764,"Cold Breakfast Cereals",19944
20765,"Granola Breakfast Cereals",19944
20766,"High Fiber Cereals",19944
20767,"Breakfast Muesli Cereals",19944
20768,"Grits",19944
20769,"Wheat Cereals",19944
20770,"Children's Cereals",19944
20771,"Rice Cereals",19944
20772,"Muesli & Granola Cereals",19944
20774,"Breakfast Cereal Bars",19944
20794,"Chocolate Candy Assortment Boxes",19944
20795,"Chocolate Candy Variety Packs",19944
20796,"Chocolate Covered Foods",19944
20797,"Chocolate Pretzels",19944
20798,"Chocolate Eggs",19944
20799,"Chocolate Packets & Boxes",19944
20800,"Chocolate Figures",19944
20802,"Spicy Sweets",19944
20803,"Indian Sweets",19944
20804,"Maple Candy",19944
20805,"Fizzy Sherbets",19944
20808,"Dried Fruits",19944
20826,"Dried Vegetables",19944
20841,"Mushrooms & Truffles",19944
20847,"Fresh Peppers",19944
20855,"Fresh Root Vegetables",19944
20862,"Fresh Potatoes & Yams",19944
20867,"Fresh Garlic",19944
20868,"Sea Vegetables",19944
20869,"Fresh Sprouts",19944
20870,"Fresh Leafy Greens",19944
20875,"Fresh Onions",19944
20876,"Fresh Celery",19944
20877,"Fresh Peas & Beans",19944
20878,"Fresh Eggplant",19944
20879,"Fresh Broccoli",19944
20880,"Fresh Squash & Gourds",19944
20881,"Fresh Artichokes",19944
20882,"Fresh Tomatoes",19944
20883,"Fresh Corn",19944
20884,"Fresh Tomatillos",19944
20885,"Fresh Cucumbers",19944
20887,"Fresh Citrus Fruits",19944
20897,"Fresh Figs",19944
20898,"Fresh Stone Fruits",19944
20904,"Fresh Berries",19944
20905,"Fresh Coconuts",19944
20906,"Fresh Apples",19944
20911,"Fresh Avocados",19944
20912,"Fresh Grapes",19944
20913,"Fresh Guava",19944
20914,"Fresh Tropical & Exotic Fruits",19944
20915,"Fresh Pears",19944
20916,"Fresh Melons",19944
20918,"Fresh Cut & Packaged Vegetables",19944
20919,"Fresh Cut & Packaged Fruits",19944
20922,"Fresh Packaged Salad Mixes",19944
20924,"Fresh Tofu",19944
20925,"Fresh Tempeh",19944
20926,"Fresh Seitan",19944
20928,"Fresh Mint",19944
20929,"Fresh Bay Leaves",19944
20930,"Fresh Lemon Grass",19944
20931,"Fresh Basil",19944
20932,"Fresh Cilantro",19944
20933,"Fresh Fennel",19944
20934,"Fresh Rosemary",19944
20935,"Fresh Oregano",19944
20936,"Fresh Thyme",19944
20937,"Fresh Tarragon",19944
20938,"Fresh Sage",19944
20941,"Almond Milks",19944
20942,"Oat Milks",19944
20943,"Coconut Milks",19944
20944,"Soy Milk",19944
20945,"Hemp Milks",19944
20946,"Rice Milk",19944
20947,"Flax Milks",19944
20948,"Cashew Milk",19944
20949,"Hazelnut Milk",19944
20951,"Coffee Creamers",19944
20952,"Dairy Milks",19944
20953,"Flavored Milks",19944
20954,"Heavy Creams",19944
20955,"Buttermilks",19944
20956,"Whipping Creams",19944
20957,"Light Creams",19944
20958,"Half & Half Creams",19944
20959,"Eggnogs",19944
20961,"Parmesan Cheese",19944
20962,"Cheddar Cheese",19944
20963,"Mozzarella Cheese",19944
20964,"Pecorino Cheese",19944
20965,"Vegetarian Cheese",19944
20966,"Blue Cheese",19944
20967,"Feta Cheese",19944
20968,"Gouda Cheese",19944
20969,"Manchego Cheese",19944
20970,"Swiss Cheese",19944
20971,"Packaged String & Snack Cheeses",19944
20972,"Packaged Cheese Blends",19944
20973,"American Cheeses",19944
20974,"Brie Cheese",19944
20975,"Mexican Cheeses",19944
20978,"Asiago Cheese",19944
20979,"Monterey Jack Cheese",19944
20980,"Limburger Cheese",19944
20981,"Colby Cheese",19944
20982,"Provolone Cheese",19944
20983,"Processed Cheese",19944
20984,"Cheese Curds",19944
20985,"Chèvre Cheese",19944
20986,"Camembert Cheese",19944
20987,"Havarti Cheese",19944
20988,"Paneer Cheese",19944
20989,"Gruyère Cheese",19944
20990,"Taleggio Cheese",19944
20991,"Muenster Cheese",19944
20992,"Ricotta Cheese",19944
20994,"Kids & Baby Yogurts",19944
20995,"Yogurt Starter Cultures",19944
20996,"Kefir",19944
20997,"Greek & Icelandic Yogurt",19944
21000,"Traditional Flavored Yogurt",19944
21001,"Non-Dairy Yogurts",19944
21002,"Traditional Plain Yogurt",19944
21003,"Yogurt Drinks",19944
21005,"Egg Substitutes",19944
21006,"Egg Whites",19944
21007,"Whole Eggs",19944
21009,"Butter",19944
21010,"Non-Dairy Butter Substitutes",19944
21020,"Fresh Seafood",19944
21040,"Caviars & Roes",19944
21041,"Dried Seafood",19944
21049,"Smoked & Cured Fish",19944
21050,"Fresh Crab Cakes",19944
21051,"Fish Pâté",19944
21052,"Imitation Crab & Surimi",19944
21054,"Summer Sausages",19944
21055,"Chorizo Sausage",19944
21056,"Andouille Sausages",19944
21057,"Chicken Sausages",19944
21058,"Kielbasa Sausages",19944
21059,"Turkey Sausages",19944
21061,"Beef Steaks",19944
21067,"Ground Beef & Patties",19944
21070,"Beef Roasts",19944
21073,"Beef Variety & Organ Meats",19944
21074,"Beef Ribs",19944
21075,"Stew Meat & Convenient Cuts",19944
21078,"Packaged Cured & Deli Meats",19944
21087,"Sliced Deli Meats",19944
21097,"Hams",19944
21098,"Pork Chops",19944
21099,"Pork Ribs",19944
21100,"Pork Tenderloins",19944
21103,"Chicken Breasts",19944
21104,"Chicken Wings",19944
21105,"Whole Chickens",19944
21114,"Popsicles & Juice Bars",19944
21115,"Ice Cream & Soft Serve Mixes",19944
21116,"Ice Cream",19944
21117,"Sorbet & Sherbet",19944
21118,"Gelato",19944
21119,"Non-Dairy Ice Creams & Novelties",19944
21121,"Frozen Sausage & Bacon",19944
21122,"Frozen Chicken",19944
21126,"Frozen Pork",19944
21127,"Frozen Burgers & Patties",19944
21128,"Frozen Meatballs",19944
21129,"Frozen Lamb",19944
21130,"Frozen Turkey",19944
21132,"Frozen Chicken & Turkey Meals",19944
21133,"Frozen Beef Meals",19944
21134,"Frozen Meatless Dishes",19944
21135,"Frozen Pot Pies",19944
21136,"Frozen Fish & Seafood Meals",19944
21137,"Frozen Kids Meals",19944
21138,"Frozen Pork Meals & Entrees",19944
21140,"Frozen Shellfish",19944
21141,"Frozen Fish",19944
21142,"Frozen Fish Sticks",19944
21145,"Frozen Waffles",19944
21146,"Frozen Pancakes & French Toast",19944
21149,"Frozen Pastries",19944
21150,"Frozen Bagels & Muffins",19944
21153,"Frozen Eggs",19944
21156,"Frozen Blueberries",19944
21157,"Frozen Peaches",19944
21158,"Frozen Raspberries",19944
21159,"Frozen Strawberries",19944
21161,"Frozen Cheese Pizzas",19944
21162,"Frozen Meat Pizzas",19944
21163,"Frozen Vegetable Pizzas",19944
21165,"Frozen Edamame",19944
21166,"Frozen Mixed Vegetables",19944
21167,"Frozen Beans & Peas",19944
21168,"Frozen Broccoli",19944
21170,"Frozen Hors d'Oeuvres",19944
21176,"Fresh Cut Roses",19944
21177,"Fresh Cut Mixed Bouquets",19944
21178,"Fresh Cut Orchids",19944
21179,"Fresh Cut Carnations",19944
21180,"Fresh Cut Tulips",19944
21181,"Fresh Cut Lilies",19944
21182,"Fresh Cut Hydrangeas",19944
21183,"Fresh Cut Sunflowers",19944
21184,"Fresh Cut Daisies",19944
21185,"Fresh Cut Irises",19944
21186,"Fresh Cut Chrysanthemums",19944
21188,"Indoor Bonsai",19944
21189,"Indoor Orchids",19944
21190,"Live Indoor Bamboo",19944
21194,"Dried Soy Beans",19944
21195,"Dried Black Beans",19944
21196,"Dried Garbanzo Beans",19944
21197,"Dried Kidney Beans",19944
21198,"Pinto Beans",19944
21199,"Dried Lima Beans",19944
21202,"Dried Split Peas",19944
21203,"Dried Green Peas",19944
21204,"Dried Pigeon Peas",19944
21207,"Wine Ingredient Kits",19944
21208,"Winemaking Yeasts & Cultures",19944
21209,"Winemaking Additives",19944
21210,"Winemaking Spices & Flavorings",19944
21213,"Specialty Beer Recipe Kits",19944
21214,"Lager Recipe Kits",19944
21217,"Hummus",19944
21218,"Refrigerated Cheese Dips & Spreads",19944
21219,"Guacamole",19944
21220,"Refrigerated Salsas",19944
21221,"Refrigerated Bean Dips & Spreads",19944
21222,"Refrigerated Vegetable Dips & Spreads",19944
21223,"Refrigerated Olive Dips & Spreads",19944
21230,"Fresh Prepared Pasta Sauces",19944
21231,"Fresh Pasta",19944
21246,"Non-Alcoholic Wine",19944
21247,"Red Wine",19944
21248,"White Wine",19944
21249,"Sparkling Wine",19944
21250,"Rosé Wine",19944
21251,"Dessert Wine",19944
21252,"Fruit Wine",19944
21254,"Whiskey & Scotch",19944
21255,"Vodka",19944
21256,"Tequila",19944
21257,"Liqueurs",19944
21258,"Gin",19944
21259,"Rum",19944
21260,"Pre-mixed Drinks",19944
21262,"Ales",19944
21265,"Non-Alcoholic Beer",19944
21266,"Alcoholic Malt Beverages",19944
19953,"Pistachio Nuts",19944
19948,"Mixed Nuts",19944
19949,"Almonds",19944
19950,"Peanuts",19944
19951,"Cashews",19944
19952,"Sunflower Seeds",19944
19954,"Walnuts",19944
19955,"Pumpkin Seeds",19944
19956,"Pecans",19944
19957,"Chia Seeds",19944
19958,"Macadamia Nuts",19944
19959,"Hemp Seeds",19944
19960,"Edible Brazil Nuts",19944
19961,"Hazelnuts",19944
19962,"Sesame Seeds",19944
19963,"Flax Seeds",19944
19964,"Soy Nuts",19944
19966,"Cake Toppers",19944
19967,"Cupcake Toppers",19944
19968,"Dessert Sprinkles",19944
19969,"Dessert Dusting Powders",19944
19970,"Dessert Glitters",19944
19971,"Dessert Icing Decorations",19944
19972,"Edible Printer Ink & Paper",19944
19974,"Dessert Decorating Kits",19944
19976,"Cooking & Baking Oils",19944
19994,"Cooking & Baking Vinegars",19944
20003,"Non-Stick Cooking Oil Sprays",19944
20005,"Honey",19944
20006,"Sugars",19944
20022,"Maple Syrup",19944
20023,"Simple Syrups",19944
20024,"Agave Nectar & Syrup",19944
20025,"Molasses",19944
20027,"Wheat Flours & Meals",19944
20028,"Corn Meals",19944
20029,"Almond Flours",19944
20030,"Barley Flour",19944
20031,"Rice Flour",19944
20032,"Oat Flour",19944
20033,"Oat Bran",19944
20034,"Millet Flours",19944
20035,"Buckwheat Flours",19944
20036,"Garbanzo Flours",19944
20037,"Polenta Meal",19944
20039,"Stevia Sugar Substitutes",19944
20040,"Xylitol Sugar Substitutes",19944
20041,"Saccharine Sugar Substitutes",19944
20042,"Palm Sugar",19944
20044,"Pancake & Waffle Mixes",19944
20045,"Cake Mixes",19944
20046,"Muffin Mixes",19944
20047,"Bread Mixes",19944
20048,"Cookie Mixes",19944
20049,"Biscuit Mixes",19944
20050,"Brownie Mixes",19944
20051,"Cornbread Mixes",19944
20052,"Pizza Crust Mixes",19944
20053,"Scone Mixes",19944
20054,"Pastry Mixes",19944
20055,"Donut Mixes",19944
20056,"Crepe Mixes",19944
20057,"Dessert Bar Mixes",19944
20058,"Pie Crust Mixes",19944
20060,"Baking Cocoa",19944
20061,"Baking Chocolates",19944
20062,"Chocolate Chips",19944
20063,"Cooking & Baking Carob",19944
20065,"Natural Extracts",19944
20066,"Imitation Extracts",19944
20068,"Baking Sodas",19944
20069,"Active Dry Yeasts",19944
20070,"Baking Powder",19944
20071,"Cream of Tartar",19944
20072,"Instant Dry Yeasts",19944
20073,"Yeast Starters",19944
20074,"Baker's Ammonia",19944
20141,"Onion Powder & Flakes",19944
20076,"Dessert Flavoring Syrups",19944
20077,"Chocolate Dessert Syrups",19944
20078,"Caramel Dessert Sauces",19944
20079,"Fruit Dessert Sauces",19944
20080,"Marshmallow Dessert Sauces",19944
20082,"Gelatins",19944
20083,"Cooking & Baking Pectins",19944
20084,"Pudding Mixes",19944
20086,"Corn Starches",19944
20087,"Xanthan Gum Thickeners",19944
20088,"Tapioca Thickeners",19944
20089,"Arrowroot Thickeners",19944
20090,"Guar Gum Thickeners",19944
20091,"Potassium Bicarbonate Thickeners",19944
20092,"Alum Thickeners",19944
20096,"Powdered Milk",19944
20097,"Condensed Milk",19944
20099,"Lards",19944
20100,"Ghee",19944
20101,"Baking & Cooking Shortenings",19944
20103,"Cooking & Baking Seasoned Coatings",19944
20104,"Breadcrumbs",19944
20105,"Panko",19944
20106,"Tempura",19944
20114,"Rice Cooking Wines",19944
20115,"White Cooking Wines",19944
20116,"Red Cooking Wines",19944
20117,"Marsala Cooking Wines",19944
20118,"Cooking Sherry",19944
20122,"Prepared Pastry Shells",19944
